URL,Year,School,Conf,Class,Pos,G,college_solo_tackles,college_assisted_tackle,college_total_tackles,college_tackles_for_loss,college_sk,college_int,college_int_yds,college_int_td,college_passes_defended,college_fumbles_recov,college_fumbles_recov_yds,college_fumbles_recov_td,college_fumbles_forced
https://www.sports-reference.com/cfb/players/jordan-carrell-1.html,,Colorado,Pac-12,,,26.0,54.0,35.0,89.0,13.5,6.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/jordan-evans-1.html,,Oklahoma,Big 12,,,38.0,164.0,117.0,281.0,21.0,3.5,5.0,145.0,2.0,16.0,3.0,41.0,1.0,4.0
https://www.sports-reference.com/cfb/players/jordan-willis-1.html,,Kansas State,Big 12,,,38.0,74.0,39.0,113.0,39.5,25.5,0.0,0.0,0.0,7.0,2.0,0.0,0.0,6.0
https://www.sports-reference.com/cfb/players/josh-carraway-1.html,,TCU,Big 12,,,37.0,63.0,69.0,132.0,26.5,18.0,1.0,33.0,1.0,2.0,4.0,56.0,1.0,3.0
https://www.sports-reference.com/cfb/players/josh-harvey-clemons-1.html,,Georgia,ACC,,,33.0,126.0,99.0,225.0,11.5,2.0,4.0,25.0,0.0,11.0,3.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/josh-jones-3.html,,North Carolina State,ACC,,,37.0,139.0,90.0,229.0,8.5,3.5,8.0,71.0,0.0,17.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/joshua-holsey-1.html,,Auburn,SEC,,,27.0,96.0,22.0,118.0,3.5,0.0,4.0,45.0,0.0,19.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/jourdan-lewis-1.html,,Michigan,Big Ten,,,41.0,97.0,38.0,135.0,8.5,1.0,6.0,50.0,1.0,37.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/justin-evans-1.html,,Texas A&M,SEC,,,25.0,99.0,66.0,165.0,6.0,0.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/keion-adams-1.html,,Western Michigan,MAC,,,44.0,72.0,54.0,126.0,33.0,14.5,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0
